#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,"D01T02: Agriculture, hunting, forestry",D03: Fishing and aquaculture,"D05T06: Mining and quarrying, energy producing products","D07T08: Mining and quarrying, non-energy producing products",D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, textile products, leather and footwear",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20: Chemical and chemical products,"D21: Pharmaceuticals, medicinal chemical and botanical products",D22: Rubber and plastics products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical equipment",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Manufacturing nec; repair and installation of machinery and equipment,"D35: Electricity, gas, steam and air conditioning supply","D36T39: Water supply; sewerage, waste management and remediation activities",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49: Land transport and transport via pipelines,D50: Water transport,D51: Air transport,D52: Warehousing and support activities for transportation,D53: Postal and courier activities,D55T56: Accommodation and food service activities,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,"D69T75: Professional, scientific and technical activities",D77T82: Administrative and support services,D84: Public administration and defence; compulsory social security,D85: Education,D86T88: Human health and social work activities,"D90T93: Arts, entertainment and recreation",D94T96: Other service activities,D97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
Australia,72.467123 ,7.844110 ,200.242740 ,152.091781 ,15.062192 ,50.516712 ,4.555068 ,9.566301 ,10.083562 ,9.991781 ,10.029041 ,8.327671 ,8.921644 ,13.572603 ,12.671233 ,20.523014 ,10.928493 ,4.546027 ,10.096712 ,6.867945 ,8.855342 ,17.489041 ,57.912055 ,38.601918 ,289.025753 ,297.886575 ,51.775342 ,25.149041 ,19.895068 ,68.793699 ,12.602466 ,88.307945 ,23.151781 ,40.640274 ,80.075616 ,335.129863 ,411.068767 ,193.903562 ,148.971233 ,199.576712 ,180.454795 ,270.556438 ,51.478904 ,48.274795 ,0.000000 
Austria,14.212603 ,0.092329 ,2.063288 ,1.800548 ,0.060822 ,20.884932 ,3.123014 ,8.559726 ,9.606301 ,3.395616 ,8.701918 ,7.361370 ,8.505753 ,8.834247 ,15.369315 ,21.312877 ,12.599452 ,17.891233 ,31.145753 ,13.500000 ,3.875342 ,16.598356 ,20.111233 ,11.454795 ,74.589041 ,129.580822 ,31.264384 ,0.168219 ,2.703288 ,24.450411 ,4.689315 ,59.144658 ,8.049589 ,9.342466 ,22.237534 ,45.097534 ,110.102740 ,59.456712 ,49.953151 ,55.545479 ,59.162740 ,77.783836 ,13.738356 ,16.457808 ,0.561370 
Belgium,7.290685 ,0.138904 ,0.000000 ,0.812055 ,0.004384 ,26.786849 ,4.437534 ,3.165753 ,6.396712 ,4.533973 ,29.524658 ,25.274247 ,7.533151 ,8.650137 ,10.603014 ,13.044932 ,5.290137 ,3.633425 ,12.593699 ,7.607123 ,2.873973 ,10.763836 ,17.505205 ,13.122740 ,69.726301 ,155.679178 ,27.055616 ,2.813151 ,1.665753 ,35.295616 ,6.667123 ,25.247945 ,10.153699 ,17.229041 ,30.203836 ,82.494795 ,123.246027 ,136.194521 ,68.538630 ,99.780548 ,91.350959 ,93.097808 ,9.522466 ,16.400822 ,1.565753 
Canada,82.249315 ,6.872877 ,147.699726 ,52.612329 ,30.654521 ,75.808219 ,5.410137 ,24.500000 ,29.280000 ,24.852329 ,34.045205 ,11.656712 ,23.521918 ,17.351781 ,27.451781 ,33.632877 ,14.397808 ,8.945753 ,34.725479 ,41.332877 ,27.652877 ,37.089041 ,89.110959 ,23.056986 ,333.213151 ,475.429863 ,110.773699 ,3.936438 ,22.695616 ,48.144932 ,18.398082 ,101.308219 ,42.670959 ,79.667397 ,84.227397 ,317.436438 ,538.910959 ,194.060548 ,138.467671 ,315.090411 ,240.174521 ,326.809589 ,34.375068 ,49.876438 ,7.421370 
Chile,24.310959 ,4.881644 ,0.414247 ,42.072877 ,0.232877 ,32.469041 ,1.348767 ,3.811507 ,9.307397 ,0.917808 ,4.932877 ,1.856712 ,2.489315 ,2.365753 ,38.654247 ,4.846575 ,2.164384 ,0.486027 ,2.539726 ,0.000000 ,2.779452 ,3.698082 ,18.372329 ,5.574247 ,54.248219 ,78.399178 ,18.847945 ,0.974795 ,3.957260 ,14.222192 ,1.020274 ,18.389863 ,4.554521 ,5.686301 ,8.375890 ,38.569589 ,67.573973 ,52.486575 ,28.772877 ,39.521096 ,42.942466 ,40.187945 ,7.411507 ,9.019178 ,0.000000 
Colombia,55.118904 ,1.765753 ,48.135068 ,5.132877 ,0.186027 ,28.956986 ,9.630959 ,0.958356 ,4.555616 ,12.016712 ,9.319726 ,3.845753 ,2.740822 ,11.024110 ,3.544110 ,2.642192 ,0.052055 ,1.900822 ,0.465205 ,1.709863 ,0.581370 ,7.950411 ,20.900274 ,9.269315 ,60.226849 ,80.203014 ,31.025479 ,0.296986 ,4.509315 ,8.257534 ,0.997260 ,35.390411 ,2.261370 ,15.700548 ,8.259726 ,39.429863 ,80.313151 ,28.681370 ,33.845753 ,56.047671 ,43.749589 ,36.378356 ,8.825479 ,6.930137 ,5.673151 
Costa Rica,7.080548 ,0.096438 ,0.007945 ,0.494795 ,0.000548 ,7.583288 ,0.482740 ,0.236164 ,0.850137 ,0.499178 ,1.038356 ,0.356438 ,0.304110 ,0.920548 ,0.237534 ,0.490137 ,0.167671 ,0.535068 ,0.035616 ,0.056438 ,0.007397 ,5.978904 ,3.274521 ,1.176986 ,7.624658 ,15.217534 ,3.511781 ,0.613699 ,0.584658 ,2.201918 ,0.544384 ,5.537534 ,0.561370 ,2.696712 ,4.527397 ,9.145753 ,13.342740 ,11.258082 ,7.833973 ,7.116986 ,12.494247 ,10.372329 ,1.488767 ,2.214521 ,2.017808 
Czechia,13.123288 ,0.072055 ,2.804384 ,1.074521 ,0.204384 ,13.527397 ,3.375890 ,3.937534 ,4.534521 ,0.281370 ,5.359178 ,2.526301 ,11.512055 ,6.937808 ,5.090685 ,17.477534 ,9.070137 ,12.063014 ,13.655616 ,31.536712 ,3.022740 ,10.866301 ,16.961644 ,6.318630 ,33.897260 ,68.778356 ,18.129589 ,0.040548 ,0.485479 ,13.605479 ,2.109863 ,12.754247 ,6.738082 ,7.960548 ,18.562192 ,24.134247 ,52.743836 ,30.555342 ,11.176438 ,38.128219 ,27.285205 ,28.236438 ,5.935068 ,6.535068 ,0.676712 
Denmark,8.566575 ,1.306027 ,8.152877 ,0.367945 ,0.927945 ,14.823562 ,1.408493 ,1.841370 ,2.256164 ,2.576164 ,8.685205 ,31.091233 ,3.816986 ,4.421370 ,1.512055 ,7.555616 ,7.820548 ,3.578630 ,18.988493 ,1.320274 ,0.737808 ,12.846301 ,10.379178 ,7.130137 ,51.560000 ,107.772329 ,14.495068 ,10.640274 ,2.349315 ,11.026849 ,2.429041 ,14.267671 ,11.909589 ,7.817260 ,18.824384 ,47.504932 ,85.677808 ,55.266301 ,27.473151 ,40.549315 ,51.020274 ,85.384658 ,12.967671 ,12.552877 ,2.118904 
Estonia,2.102192 ,0.129589 ,0.571781 ,0.229863 ,0.004110 ,1.300822 ,0.598356 ,1.815068 ,0.498630 ,0.255068 ,0.403562 ,0.054795 ,0.430959 ,0.707945 ,0.046849 ,1.380548 ,0.478082 ,0.714521 ,0.495890 ,0.384658 ,0.101096 ,1.426301 ,2.568767 ,0.482192 ,5.301918 ,8.529863 ,2.123014 ,0.387123 ,0.011233 ,2.639178 ,0.217808 ,1.438904 ,0.561370 ,1.078356 ,2.905479 ,2.922740 ,7.765205 ,3.909589 ,2.684110 ,4.954795 ,3.584932 ,3.049589 ,1.105479 ,0.613425 ,0.043562 
